PublisherID,Publisher_Name,Country
12263,"""NTC/Contemporary Publishing Company""","""India"""
12264,"""Learning Horizons""","""Turkey"""
12265,"""Scribner Paper Fiction""","""Germany"""
12266,"""Price Stern Sloan""","""Turkey"""
12267,"""Price Stern Sloan Pub (J)""","""Japan"""
12268,"""Goldmann""","""Iran"""
12269,"""Bantam""","""China"""
12270,"""Bantam""","""Italy"""
12271,"""Harcourt""","""India"""
12272,"""Ballantine Books""","""North Korea"""
12273,"""Dover Publications""","""Iran"""
12274,"""Scholastic""","""United Kingdom"""
12275,"""Simon Pulse""","""Australia"""
12276,"""Planeta Pub Corp""","""Australia"""
12277,"""Santillana""","""Italy"""
12278,"""Penton Kids""","""United Status"""
12279,"""Debols!llo""","""Japan"""
12280,"""Thomas Nelson""","""North Korea"""
12281,"""Espasa Calpe Mexicana, S.A.""","""China"""
12282,"""BBC Consumer Publishing""","""Japan"""
12283,"""Silhouette""","""China"""
12284,"""Orbis Books""","""Spain"""
12285,"""Gallimard""","""Russia"""
12286,"""St Martins Pr (Mm)""","""Iran"""
12287,"""Erika Klopp Verlag""","""Turkey"""
12288,"""Loewe Verlag""","""Australia"""
12289,"""Dtv""","""Turkey"""
12290,"""Natl Book Network""","""Brazil"""
12291,"""Bantam Dell Pub Group""","""United Kingdom"""
12292,"""Perennial""","""Spain"""
12293,"""Ballantine Books""","""Japan"""
12294,"""Penguin Books""","""Germany"""
12295,"""Bertelsmann, M�?¼nchen""","""Germany"""
12296,"""Pocket""","""Russia"""
12297,"""Amistad""","""Russia"""
12298,"""Yearling Books""","""Spain"""
12299,"""Troll Communications""","""North Korea"""
12300,"""Price Stern Sloan Pub (J)""","""Germany"""
12301,"""Random House Childrens Books""","""Iran"""
12302,"""Aladdin""","""Brazil"""
12303,"""Mega-books""","""Russia"""
12304,"""Simon Spotlight""","""Russia"""
12305,"""Price Stern Sloan Pub (J)""","""France"""
12306,"""Harpercollins""","""France"""
12307,"""Ace Books""","""Japan"""
12308,"""St Martins Pr""","""Japan"""
12309,"""Thomas Nelson""","""Brazil"""
12310,"""Pages Publishing Group""","""Brazil"""
12311,"""WestBow Press""","""Spain"""
12312,"""NTC/Contemporary Publishing Company""","""United Status"""
12313,"""Readers Digest""","""Australia"""
12314,"""Disney Pr""","""Russia"""
12315,"""Bantam Doubleday Dell""","""United Status"""
12316,"""Disney Pr (Jp)""","""Russia"""
12317,"""St Martins Pr""","""Iran"""
12318,"""Random House""","""Germany"""
12319,"""Bantam Doubleday Dell""","""India"""
12320,"""Harper Mass Market Paperbacks (Mm)""","""Japan"""
12321,"""Lectorum Pubns (Adult)""","""North Korea"""
12322,"""Distribooks Inc""","""Spain"""
12323,"""Editorial Molino""","""United Kingdom"""
12324,"""Editorial Molino""","""Spain"""
12325,"""Editorial Molino""","""Iran"""
12326,"""Lectorum Pubns (Adult)""","""United Status"""
12327,"""Lectorum Pubns (Adult)""","""China"""
12328,"""Ediciones B""","""France"""
12329,"""Troll Communications""","""Russia"""
12330,"""Troll Communications""","""Iran"""
12331,"""Silver Burdett Press""","""Italy"""
12332,"""Gold Eagle""","""Brazil"""
12333,"""Farrar Straus &amp; Giroux""","""France"""
12334,"""Tor Books""","""Australia"""
12335,"""St Martins Pr""","""India"""
12336,"""Pocket""","""Brazil"""
12337,"""New Amer Library""","""Brazil"""
12338,"""Scholastic Paperbacks""","""Spain"""
12339,"""Scholastic""","""Italy"""
12340,"""Bdd Promotional Book Co""","""Spain"""
12341,"""St Martins Pr""","""Spain"""
12342,"""Award Publications""","""China"""
12343,"""Walt Disney Records &amp; Audio""","""India"""
12344,"""Fawcett Books""","""United Kingdom"""
12345,"""Silhouette""","""Australia"""
12346,"""St. Martin's Press""","""France"""
12347,"""Award Publications""","""France"""
12348,"""LGF""","""Brazil"""
12349,"""Gallimard""","""United Kingdom"""
12350,"""Ladybird Books Ltd""","""United Status"""
12351,"""Penguin Books""","""Russia"""
12352,"""Meulenhoff""","""India"""
12353,"""I Books""","""Germany"""
12354,"""St. Martin's Minotaur""","""Iran"""
12355,"""Heyne""","""Australia"""
12356,"""Viking Books""","""Brazil"""
12357,"""Hodder &amp; Stoughton General Division""","""Iran"""
12358,"""Back Bay Books""","""Russia"""
12359,"""Meredith Books""","""Brazil"""
12360,"""White Wolf Games Studio""","""France"""
12361,"""Suma de Letras""","""France"""
12362,"""W. W. Norton &amp; Company""","""United Status"""
12363,"""Fodor's Travel Publications""","""China"""
12364,"""Pantheon Books""","""France"""
12365,"""Simon &amp; Schuster""","""United Status"""
12366,"""Bookthrift Co""","""Spain"""
12367,"""Random House Inc""","""Germany"""
12368,"""Crown Publishers""","""Russia"""
12369,"""Perennial (HarperCollins)""","""Russia"""
12370,"""Pocket""","""Japan"""
12371,"""Price Stern Sloan Pub (J)""","""Italy"""
12372,"""Viking Books""","""United Status"""
12373,"""Quill""","""Brazil"""
12374,"""Sweet Valley""","""Iran"""
12375,"""HarperFestival""","""China"""
12376,"""Ballantine Books""","""Australia"""
12377,"""Harlequin""","""Australia"""
12378,"""Pocket""","""China"""
12379,"""Puffin Books""","""France"""
12380,"""Bantam Doubleday Dell""","""Germany"""
12381,"""Buccaneer Books""","""United Kingdom"""
12382,"""Walker""","""Australia"""
12383,"""St Martins Pr""","""Australia"""
12384,"""Del Rey Books""","""China"""
12385,"""Ivy Books""","""Brazil"""
12386,"""Leisure Books""","""North Korea"""
12387,"""Signet Book""","""France"""
12388,"""Bradt Travel Guides""","""North Korea"""
12389,"""Love Spell""","""Spain"""
12390,"""BRAVA""","""Italy"""
12391,"""Hanser Belletristik""","""Italy"""
12392,"""Penguin Books""","""Iran"""
12393,"""Harlequin""","""India"""
12394,"""Harlequin""","""Brazil"""
12395,"""Kensington Pub Corp (Mm)""","""China"""
12396,"""For Dummies""","""Italy"""
12397,"""Jeremy P. Tarcher""","""France"""
12398,"""Michael Joseph Ltd""","""Japan"""
12399,"""Harlequin""","""Russia"""
12400,"""Berkley Pub Group""","""India"""
12401,"""Penguin Books Ltd""","""United Kingdom"""
12402,"""Signet Classics""","""Japan"""
12403,"""Scherz""","""United Kingdom"""
12404,"""Tor Books""","""United Kingdom"""
12405,"""Apple""","""Italy"""
12406,"""Baen""","""United Status"""
12407,"""Ballantine Books""","""Russia"""
12408,"""J'ai lu""","""Germany"""
12409,"""Albin Michel""","""Brazil"""
12410,"""Editions 84""","""Turkey"""
12411,"""Random House, Inc.""","""Brazil"""
12412,"""Random House""","""Australia"""
12413,"""Mira""","""Australia"""
12414,"""Scribner""","""Italy"""
12415,"""Alfaguara/Santillana USA""","""Italy"""
12416,"""Penguin USA""","""Italy"""
12417,"""Pocket Books""","""Turkey"""
12418,"""Pocket Books""","""Japan"""
12419,"""HarperPrism""","""India"""
12420,"""Simon &amp; Schuster""","""Germany"""
12421,"""W.W. Norton &amp; Company""","""Australia"""
12422,"""Apple (Scholastic)""","""Spain"""
12423,"""Berkley Pub Group""","""Russia"""
12424,"""Pocket""","""United Kingdom"""
12425,"""Price Stern Sloan""","""Brazil"""
12426,"""Random House Trade""","""Japan"""
12427,"""Indus""","""North Korea"""
12428,"""Signet Book""","""Brazil"""
12429,"""Tor Books (Mm)""","""Italy"""
12430,"""Scribner""","""United Kingdom"""
12431,"""Madison Marketing Limited""","""Turkey"""
12432,"""Goldmann""","""Japan"""
12433,"""Golden Books""","""North Korea"""
12434,"""St. Martin's Minotaur""","""Italy"""
12435,"""Penguin USA""","""Iran"""
12436,"""Bantam Books""","""Australia"""
12437,"""Wizards of the Coast""","""North Korea"""
12438,"""Perennial""","""Russia"""
12439,"""Plaza &amp; Janes Editores, S.A.""","""China"""
12440,"""Fodor's Travel Publications""","""France"""
12441,"""Globe Pequot Pr""","""India"""
12442,"""Reader's Digest Association""","""India"""
12443,"""L'Ecole des loisirs""","""Australia"""
12444,"""New Amer Library""","""United Status"""
12445,"""Renaissance Books""","""United Status"""
12446,"""Farrar Straus &amp; Giroux""","""United Status"""
12447,"""Barron's Educational Series""","""Turkey"""
12448,"""W. W. Norton &amp; Company""","""Germany"""
12449,"""Pocket""","""Australia"""
12450,"""Ediciones Alfaguara, S.A.""","""France"""
12451,"""Bt Bound""","""Spain"""
12452,"""Walter De Gruyter Inc""","""Russia"""
12453,"""MMB Music""","""Italy"""
12454,"""Fodor's Travel Publications""","""Italy"""
12455,"""William Morrow""","""Russia"""
12456,"""Mouse Works""","""North Korea"""
12457,"""Mouse Works""","""Japan"""
12458,"""Grosset &amp; Dunlap""","""Russia"""
12459,"""Parragon Publishing""","""Russia"""
12460,"""Bookthrift Co""","""United Status"""
12461,"""Bantam Dell Pub Group""","""India"""
12462,"""Forge""","""Spain"""
12463,"""Librairie des Champs-Elys�?©es""","""Russia"""
12464,"""Sterling Pub Co Inc""","""Spain"""
12465,"""Random House Children's Books""","""Australia"""
12466,"""Bookthrift Co""","""Russia"""
12467,"""Harlequin Books""","""India"""
12468,"""Harper Mass Market Paperbacks (Mm)""","""Iran"""
12469,"""Back Bay Books""","""Italy"""
12470,"""St. Martin's Minotaur""","""United Kingdom"""
12471,"""I Books""","""United Status"""
12472,"""Storey Books""","""India"""
12473,"""Cartwheel Books""","""Germany"""
12474,"""Health Communications""","""Italy"""
12475,"""Health Communications""","""Iran"""
12476,"""Health Communications""","""United Kingdom"""
12477,"""Health Communications""","""Brazil"""
12478,"""Health Communications""","""India"""
12479,"""Onyx Books""","""Japan"""
12480,"""Scholastic""","""India"""
12481,"""Health Communications""","""China"""
12482,"""HCI""","""United Status"""
12483,"""Scholastic Paperbacks""","""Japan"""
12484,"""Silhouette""","""United Status"""
12485,"""Tor Books (Mm)""","""Brazil"""
12486,"""W.W. Norton &amp; Company""","""Iran"""
12487,"""Plume Books""","""United Kingdom"""
12488,"""Signet Book""","""Australia"""
12489,"""Random House Children's Books""","""Iran"""
12490,"""Viking Penguin Inc""","""North Korea"""
12491,"""Heyne""","""United Status"""
12492,"""Bantam Books""","""Iran"""
12493,"""Scholastic Paperbacks""","""Iran"""
12494,"""A. Mondadori""","""United Status"""
12495,"""Barnes &amp; Noble""","""United Kingdom"""
12496,"""Gramercy Books""","""United Kingdom"""
12497,"""Berlitz Guides""","""China"""
12498,"""Tor Books""","""Brazil"""
12499,"""Ediciones Alfaguara, S.A.""","""Iran"""
12500,"""Harlequin Sales Corp (Mm)""","""China"""
12501,"""St Martins Pr (Mm)""","""Italy"""
12502,"""Parragon Publishing""","""Iran"""
12503,"""Anchor""","""Turkey"""
12504,"""Random House""","""Iran"""
12505,"""Henry Holt &amp; Co""","""Japan"""
12506,"""Ballantine Books""","""Turkey"""
12507,"""Silhouette""","""Iran"""
12508,"""Thomas Bouregy &amp; Co""","""Iran"""
12509,"""Scribner""","""United Status"""
12510,"""HarperTorch""","""Brazil"""
12511,"""Penguin Putnam~trade""","""Russia"""
12512,"""Klutz Press""","""Australia"""
12513,"""Reader's Digest Association""","""Turkey"""
12514,"""Penguin Putnam~trade""","""Turkey"""
12515,"""Harper Mass Market Paperbacks (Mm)""","""United Status"""
12516,"""Silhouette""","""France"""
12517,"""Bantam Books""","""France"""
12518,"""Harlequin""","""France"""
12519,"""Forge Books""","""North Korea"""
12520,"""Bantam Books""","""Japan"""
12521,"""Hyperion Books for Children""","""Italy"""
12522,"""Starfire""","""Iran"""
12523,"""Phantasia Press""","""North Korea"""
12524,"""Harlequin""","""Japan"""
12525,"""Scholastic Paperbacks""","""China"""
12526,"""Amereon Limited""","""Italy"""
12527,"""Cartwheel Books""","""United Status"""
12528,"""Putnam""","""Turkey"""
12529,"""Olaneta""","""China"""
12530,"""Golden Books""","""United Status"""
12531,"""Cartwheel Books""","""North Korea"""
12532,"""Random House Books for Young Readers""","""China"""
12533,"""Avon Books""","""United Status"""
12534,"""Apple (Scholastic)""","""China"""
12535,"""Scherz""","""China"""
12536,"""Harper Mass Market Paperbacks (Mm)""","""North Korea"""
12537,"""Jove Books""","""Brazil"""
12538,"""Nueva Imagen""","""Spain"""
12539,"""HarperTorch""","""China"""
12540,"""Silhouette""","""Germany"""
12541,"""Heyne""","""Turkey"""
12542,"""Orchard Books (NY)""","""United Kingdom"""
12543,"""Pinnacle Books""","""North Korea"""
12544,"""Love Spell""","""United Status"""
12545,"""Pocket""","""India"""
12546,"""Dell Publishing Company""","""India"""
12547,"""Ballantine Books""","""Italy"""
12548,"""Berkley Pub Group""","""North Korea"""
12549,"""Puffin Books""","""Russia"""
12550,"""Daw Books""","""North Korea"""
12551,"""Simon &amp; Schuster""","""Japan"""
12552,"""Berkley Publishing Group""","""India"""
12553,"""Ediciones 29""","""Germany"""
12554,"""Bantam Books (Mm)""","""China"""
12555,"""Apple (Scholastic)""","""Brazil"""
12556,"""Scholastic Paperbacks""","""North Korea"""
12557,"""Scholastic""","""China"""
12558,"""Apple""","""Spain"""
12559,"""Apple (Scholastic)""","""Italy"""
12560,"""Chivers North America""","""France"""
12561,"""Chivers North Amer""","""Japan"""
12562,"""Award Publications""","""Iran"""
12563,"""Chivers North Amer""","""Germany"""
12564,"""Juventud""","""United Status"""
12565,"""Hodder &amp; Stoughton Childrens Division""","""France"""
12566,"""Hachette Jeunesse""","""Russia"""
12567,"""Silhouette""","""North Korea"""
12568,"""Putnam Pub Group""","""Germany"""
12569,"""Kensington Pub Corp (Mm)""","""Japan"""
12570,"""Klutz Pr""","""Iran"""
12571,"""Andrews McMeel Publishing""","""United Status"""
12572,"""Andrews McMeel Publishing""","""Iran"""
12573,"""Farrar Straus Giroux""","""Spain"""
12574,"""Berkley Publishing Group""","""Brazil"""
12575,"""Island Nation Press""","""Australia"""
12576,"""Island Nation Press""","""United Kingdom"""
12577,"""Fischer (Tb.), Frankfurt""","""China"""
12578,"""Ballantine Books (Mm)""","""Iran"""
12579,"""Orion Publishing Co""","""India"""
12580,"""Mira""","""India"""
12581,"""Bantam Books""","""Spain"""
12582,"""Espasa Calpe Mexicana, S.A.""","""Brazil"""
12583,"""Bethany House Publishers""","""Spain"""
12584,"""Bethany House Publishers""","""France"""
12585,"""Baker Pub Group""","""Iran"""
12586,"""Word Publishing""","""Australia"""
12587,"""Bethany House Publishers""","""Japan"""
12588,"""Orion""","""Italy"""
12589,"""Bloomsbury Publishing Plc""","""Iran"""
12590,"""Reader's Digest""","""Iran"""
12591,"""Warner Books Inc""","""Iran"""
12592,"""Booket""","""United Status"""
12593,"""Avon""","""Iran"""
12594,"""I Books""","""Italy"""
12595,"""Modern Library""","""Germany"""
12596,"""L�?¼bbe""","""Iran"""
12597,"""Delta Trade Paperbacks""","""Turkey"""
12598,"""Pocket""","""Turkey"""
12599,"""Zondervan Publishing Company""","""China"""
12600,"""Ballantine Books""","""India"""
12601,"""Purnell""","""Japan"""
12602,"""Modern Library""","""China"""
12603,"""Modern Library""","""United Status"""
12604,"""Modern Library""","""Spain"""
12605,"""Zondervan Publishing Company""","""Turkey"""
12606,"""Scholastic Paperbacks (T)""","""Australia"""
12607,"""Modern Library""","""Turkey"""
12608,"""Modern Library""","""North Korea"""
12609,"""Citadel Press""","""Iran"""
12610,"""Modern Library""","""Italy"""
12611,"""Silhouette""","""India"""
12612,"""Putnam Pub Group""","""North Korea"""
12613,"""Leisure Books""","""Japan"""
12614,"""Leisure Books""","""France"""
12615,"""Baen""","""Japan"""
12616,"""Modern Library""","""France"""
12617,"""Kensington Pub Corp (Mm)""","""Germany"""
12618,"""Tor Books""","""North Korea"""
12619,"""Bantam Books""","""China"""
12620,"""Kensington Pub Corp (Mm)""","""United Status"""
12621,"""Highbridge Audio""","""France"""
12622,"""Random House Audio Publishing Group""","""Spain"""
12623,"""Penguin Audiobooks""","""France"""
12624,"""Simon &amp; Schuster Audio""","""United Status"""
12625,"""Simon &amp; Schuster Audio""","""Australia"""
12626,"""Simon &amp; Schuster Audio""","""Iran"""
12627,"""Random House Audio""","""Italy"""
12628,"""Sagebrush Bound""","""Iran"""
12629,"""Penguin Highbridge Audio""","""China"""
12630,"""Simon &amp; Schuster Audio""","""Russia"""
12631,"""Penguin Audiobooks""","""Turkey"""
12632,"""Thorndike Pr""","""India"""
12633,"""Penguin Audiobooks""","""United Kingdom"""
12634,"""Signet Book""","""Russia"""
12635,"""Plume Books""","""Italy"""
12636,"""New Amer Library""","""Iran"""
12637,"""Penguin USA""","""Russia"""
12638,"""Octopus Books""","""Russia"""
12639,"""Modern Publishing""","""United Status"""
12640,"""Severn House Publishers""","""Australia"""
12641,"""Penguin USA""","""Spain"""
12642,"""Highbridge Audio""","""Iran"""
12643,"""Writers' Voices/New Readers Press""","""Turkey"""
12644,"""Thorndike Pr""","""Australia"""
12645,"""Audio Literature""","""United Status"""
12646,"""Highbridge Audio""","""Italy"""
12647,"""Dark Harvest""","""Spain"""
12648,"""Random House Value Publishing""","""China"""
12649,"""HarperCollins""","""United Status"""
12650,"""Pocket""","""France"""
12651,"""Dover Publications""","""France"""
12652,"""Penton Overseas""","""Brazil"""
12653,"""University Press of Kansas""","""Germany"""
12654,"""ABC-Clio Inc""","""United Status"""
12655,"""Schocken Books""","""Brazil"""
12656,"""Unicorn Publishing House""","""China"""
12657,"""Dover Publications""","""Turkey"""
12658,"""Amereon Limited""","""Russia"""
12659,"""Del Rey Books""","""Italy"""
12660,"""Penguin USA""","""North Korea"""
12661,"""IndyPublish.com""","""Turkey"""
12662,"""Amereon Limited""","""Turkey"""
12663,"""IndyPublish.com""","""Russia"""
12664,"""Dover Publications""","""Germany"""
12665,"""IndyPublish.com""","""India"""
12666,"""IndyPublish.com""","""North Korea"""
12667,"""Dover Publications""","""United Status"""
12668,"""Signet Classics""","""Russia"""
12669,"""Scholastic Library Pub""","""Italy"""
12670,"""Wonder Publishing""","""France"""
12671,"""Wildside Press""","""Germany"""
12672,"""HarperCollins""","""Iran"""
12673,"""Wildside Press""","""Italy"""
12674,"""Books of Wonder""","""China"""
12675,"""Books of Wonder""","""Italy"""
12676,"""W.W. Norton &amp; Company""","""Russia"""
12677,"""Peter Smith Publisher Inc""","""Japan"""
12678,"""Wonder Publishing""","""Australia"""
12679,"""Dover Publications""","""Italy"""
12680,"""Fawcett Books""","""France"""
12681,"""Dover Publications""","""India"""
12682,"""Peter Smith Publisher Inc""","""France"""
12683,"""Academic Resources Corp""","""Iran"""
12684,"""Peter Smith Publisher Inc""","""Iran"""
12685,"""Del Rey Books""","""Russia"""
12686,"""Dover Publications""","""Australia"""
12687,"""Peter Smith Publisher Inc""","""Brazil"""
12688,"""I Books""","""Turkey"""
12689,"""HarperTrophy""","""India"""
12690,"""University of Nebraska Press""","""Russia"""
12691,"""University of Nebraska Press""","""Australia"""
12692,"""Dover Publications""","""Brazil"""
12693,"""Random House Value Publishing""","""Brazil"""
12694,"""Native Amer Books Distributor""","""Russia"""
12695,"""Scholastic Paperbacks (Mm)""","""United Status"""
12696,"""J m Dent &amp; Sons Ltd""","""Russia"""
12697,"""Peter Smith Publisher Inc""","""India"""
12698,"""Del Rey Books""","""Australia"""
12699,"""Amereon Limited""","""Iran"""
12700,"""Malibu Comics Entertainment""","""Iran"""
12701,"""Dutton Books""","""India"""
12702,"""Airmont Pub Co""","""United Kingdom"""
12703,"""Univ of California Pr""","""Germany"""
12704,"""Random House Value Publishing""","""Australia"""
12705,"""McGraw-Hill""","""France"""
12706,"""Random House Value Publishing""","""North Korea"""
12707,"""Amereon Limited""","""United Status"""
12708,"""Random House Value Pub""","""Italy"""
12709,"""Ashgate Pub Co""","""Japan"""
12710,"""Academic Resources Corp""","""United Kingdom"""
12711,"""Random House Value Publishing""","""Germany"""
12712,"""Dover Publications""","""Japan"""
12713,"""Bt Bound""","""Australia"""
12714,"""MacMillan Publishing Company.""","""Spain"""
12715,"""Time Warner Books UK""","""Italy"""
12716,"""Penguin Highbridge Audio""","""Japan"""
12717,"""Penguin Highbridge Audio""","""Brazil"""
12718,"""Smithmark Pub""","""United Kingdom"""
12719,"""Random House (A)""","""United Status"""
12720,"""Octopus Books""","""Turkey"""
12721,"""Planeta Pub Corp""","""United Kingdom"""
12722,"""Creative Education""","""Australia"""
12723,"""Close Up Foundation""","""Turkey"""
12724,"""Ohio State University Press""","""Iran"""
12725,"""Fredonia Books (NL)""","""France"""
12726,"""Creative Education""","""China"""
12727,"""Blackstone Audiobooks""","""Italy"""
12728,"""Ohio State University Press""","""United Kingdom"""
12729,"""New Millennium Audio""","""Turkey"""
