BookID,Book-Title,Instock,Year-Of-Publication,Publisher_ID
34621,"""Peace With God : The Secret Happiness""",243,2002,14907
34622,"""Garfield in the Rough""",220,1984,14212
34623,"""The FIFTH MIRACLE: The Search for the Origin and Meaning of Life""",332,2000,14784
34624,"""Big Dog...Little Dog: A Bedtime Story""",410,1973,14483
34625,"""Jubilee Journey""",472,1997,14481
34626,"""White Lilacs""",38,1993,14481
34627,"""Prince and the Pauper""",213,1988,12140
34628,"""De Profundis and Other Writings (Penguin Classics)""",345,1976,14368
34629,"""The Complete Shorter Fiction (World's Classics)""",52,1982,14780
34630,"""Psalms 1-72 (Collegeville Bible Commentary Old Testament 22)""",464,1986,12144
34631,"""Psalms 73-150 (Collegeville Bible Commentary Old Testament 23)""",317,1986,12144
34632,"""Teach Us, Amelia Bedelia (Hello Reader)""",384,1987,14080
34633,"""Good Grief...Third Grade""",86,1994,12557
34634,"""Karen's School Mystery (Baby-Sitters Little Sister, 57)""",45,1995,12557
34635,"""Stretching: 20th Anniversary""",489,2000,12148
34636,"""Ross Poldark (Poldark Saga)""",490,1996,14908
34637,"""Little Men""",444,1971,14658
34638,"""Little Women (Children's Classics Series)""",88,1987,12151
34639,"""Plays, Prose Writings and Poems (Everyman Paperback Classics)""",57,1996,14555
34640,"""My Honey Valentine: A So-Soft Board Book (So-Soft Board Book)""",79,1997,14913
34641,"""Clifford's Christmas""",497,1986,12557
34642,"""Michelle's Full House Scrapbook""",198,1995,14809
34643,"""Jungle Book (Disney Classics)""",98,1986,14913
34644,"""T.F. Benson and the Dinosaur Madness Mystery (T. F. Benson, No. 2)""",84,1992,14895
34645,"""Readers Digest Word Power Quiz Book""",98,1995,14322
34646,"""Baby-Sitters' Fright Night (Baby-Sitters Club Super Mystery, 3)""",478,1996,12557
34647,"""The Baby-Sitters Haunted House (Baby-Sitters Club Super Mystery, 1)""",54,1995,12557
34648,"""Karen's Snow Day (Baby-Sitters Little Sister, 34)""",492,1993,14080
34649,"""Kristy's Book (Baby-Sitters Club Portrait Collection)""",429,1996,12557
34650,"""Don't Give Up, Mallory (Baby-Sitters Club, 108)""",27,1997,14568
34651,"""Jessi and the Bad Baby-Sitter (Baby-Sitters Club, 68)""",214,1993,12557
34652,"""Karen's Newspaper (Baby-Sitters Little Sister, 40)""",105,1993,12557
34653,"""Karen's Big Lie (Baby-Sitters Little Sister, 38)""",442,1993,14619
34654,"""Claudia and the Mystery at the Museum (Baby-Sitters Club Mystery, 11)""",489,1993,12557
34655,"""Kristy and the Haunted Mansion (Baby-Sitters Club Mystery, 9)""",37,1993,12557
34656,"""Kristy and the Missing Child (Baby-Sitters Club Mystery, 4)""",447,1993,12557
34657,"""Claudia's Friend (Baby-Sitters Club, 63)""",288,1993,12557
34658,"""Kristy and the Worst Kid Ever (Baby-Sitters Club, 62)""",81,1993,12557
34659,"""Jessi and the Awful Secret (Baby-Sitters Club, 61)""",179,1993,14080
34660,"""Creature Teacher (Goosebumps Series 2000, No 3)""",279,1998,14568
34661,"""California Girls! (Baby-Sitters Club Super Special, 5)""",255,1990,12557
34662,"""Journey to the Planet of the Blawps (Lost in Space. the New Journeys, 4)""",304,1998,14435
34663,"""Garfield Goes Underground""",231,1983,14917
34664,"""DINO MITE DINOSAUR JOKES : DINO MITE DINOSAUR JOKES""",444,1994,14633
34665,"""Eleven Kids, One Summer""",496,1996,14725
34666,"""Crickle-Crack (Serendipity Series)""",448,1987,14884
34667,"""The Wright Brothers (In Their Own Words)""",214,2003,12557
34668,"""Silver Casket (Harlequin Presents)""",423,1983,13787
34669,"""If You Were a Ballet Dancer""",369,1979,14619
34670,"""The Witch Next Door""",98,1991,12557
34671,"""Snowbound (Baby-Sitters Club Super Special, 7)""",253,1996,12557
34672,"""Mary Anne Vs Logan (Baby-Sitters Club, 41)""",92,1991,14080
34673,"""Missing Since Monday (Point (Scholastic, Inc.).)""",170,1987,14080
34674,"""Bellini Bride (A Mediterranean Marriage) (Harlequin Presents, No. 2224)""",239,2002,13787
34675,"""Bendigo Shafter""",474,1999,13782
34676,"""Where the Long Grass Blows""",228,1976,13782
34677,"""Leslie Linsley's Weekend Decorating: 1,001 Quick Home Decorating Ideas, Tips and How-To's""",108,1993,14525
34678,"""Descent of Anansi""",161,0,12180
34679,"""A Vow of Obedience (Sister Joan Mystery)""",36,1995,14866
34680,"""Dragonsong""",126,1977,13782
34681,"""Where's Barney""",342,2002,12557
34682,"""Crucible""",444,1996,12182
34683,"""A Walk to Remember""",187,1999,14164
34684,"""Getting Something on Maggie Marmelstein""",93,1971,14375
34685,"""So Many Steps to Death""",476,1986,14157
34686,"""No Offense Intended""",494,1999,14693
34687,"""The Happy Prince &amp; Other Stories""",476,1999,12187
34688,"""Paddy Clarke Ha Ha Ha""",442,1997,12188
34689,"""The Lone Drow (Forgotten Realms: The Hunter's Blades Trilogy, Book 2)""",312,2003,14992
34690,"""Vixen 03""",476,1978,14408
34691,"""Goldman's Anatomy""",274,1993,14297
34692,"""Crime Zero""",293,1999,14812
34693,"""dirty linen""",457,1999,14665
34694,"""The Incredible Worlds Of Wally Mcdoogle: #11 My Life As Polluted Pond Scum""",207,1996,13817
34695,"""CAT AMONG PIGEONS""",56,1979,14110
34696,"""The Lost Princess of Oz (Books of Wonder)""",182,1998,14375
34697,"""Little Wizard Stories of Oz (Books of Wonder)""",286,1994,14375
34698,"""The Scarecrow of Oz (Books of Wonder)""",326,1997,14375
34699,"""Rinkitink in OZ""",281,1998,14375
34700,"""Nirgendwo in Afrika / Irgendwo in Deutschland. Zwei Romane in einem Band.""",152,2000,14726
34701,"""Die Commitments.""",191,2001,12199
34702,"""Fish und Chips.""",241,2002,14345
34703,"""Los cachorros""",319,1995,13619
34704,"""CHILDREN""",224,1992,14544
34705,"""Too Close""",173,1998,13220
34706,"""The Dark Room""",162,1998,14770
34707,"""Starring Miss Marple""",454,1977,14776
34708,"""With an Everlasting Love""",167,1999,14810
34709,"""Gift From Earth""",187,1987,14212
34710,"""Garfield Says a Mouthful, No 21 (Garfield (Numbered Paperback))""",320,1991,14212
34711,"""Well Done, Secret Seven (Enid Blyton's The Secret Seven Series II)""",245,1951,14468
34712,"""Barrow's Boys""",436,2000,14770
34713,"""Dracula""",89,1992,14346
34714,"""The Naked Face: The Essential Guide to Reading Faces""",177,1994,14863
34715,"""Stand - In Bride (Fortune'S Children) (Fortune's Children)""",56,1996,13787
34716,"""Cimarron Rose (Harlequin Historical Series, No 560)""",461,2001,13787
34717,"""Bride of Johnny McAllister""",198,1999,14971
34718,"""Fourth Graders Dont Believe in Witches""",294,1995,14619
34719,"""Wherever Love Leads (Harlequin Temptation, No. 252)""",100,1987,13787
34720,"""A Christmas Carol (All Aboard Books)""",361,1989,13918
34721,"""Eisberg, der Todesflieger. Zwei Thriller in einem Band.""",304,2003,14576
34722,"""Gl�?¼cksspieler.""",442,2001,14726
34723,"""Cyclop. Roman.""",465,1990,14576
34724,"""In fremden Kleidern. Geschichte einer Jugend.""",251,2003,12220
34725,"""The Old Patagonian Express : By Train Through the Americas""",386,1989,14171
34726,"""Dreamcatcher Movie-Tie In""",194,2003,14919
34727,"""Penguin Pete, Ahoy!""",361,1993,14087
34728,"""A Special Trade""",105,1978,14953
34729,"""Adventures of Huckleberry Finn""",255,1978,14805
34730,"""Garfield's Night Before Christmas""",154,1988,14658
34731,"""Planet Earth""",483,1986,13782
34732,"""Medieval in LA: A Fiction""",29,1996,12228
34733,"""Rowan and the Keeper of the Crystal (Rowan of Rin)""",102,2002,13939
34734,"""A Connecticut Yankee in King Arthur's Court (Worlds Best Reading)""",221,1984,14805
34735,"""The Rainbow Fish Bath Book""",150,2000,14087
34736,"""Secret Seven Mystery""",357,2002,12232
34737,"""The Mystery of Banshee Towers (The Mystery Series)""",153,1996,13806
34738,"""The Mystery of the Missing Man (The Mystery Series)""",170,1996,13806
34739,"""The Mystery of Tally-Ho Cottage (The Mystery Series)""",105,1996,13806
34740,"""The Mystery of the Strange Bundle (The Mystery Series)""",53,1996,13806
34741,"""The Mystery of the Vanished Prince (The Mystery Series)""",459,1996,13806
34742,"""The Mystery of the Pantomime Cat (The Mystery Series)""",486,1996,13806
34743,"""The Mystery of the Hidden House (The Mystery Series)""",336,1996,13806
34744,"""The Mystery of the Missing Necklace (The Mystery Series)""",471,1996,13806
34745,"""The Mystery of the Secret Room (The Mystery Series)""",154,1995,13806
34746,"""The Mystery of the Spiteful Letters (The Mystery Series)""",71,1995,13806
34747,"""The Mystery of the Disappearing Cat (The Mystery Series)""",178,1995,13806
34748,"""The Mystery of the Burnt Cottage (The Mystery Series)""",31,1995,13806
34749,"""Fifth Formers of St Clare's (St Clare's)""",484,1996,13806
34750,"""Claudine at St Clare's (St Clare's)""",252,1996,13806
34751,"""The Second Form at St Clare's (St Clare's)""",327,1996,13806
34752,"""Summer Term at St Clare's (St Clare's)""",108,1996,13806
34753,"""The O'Sullivan Twins (St Clare's)""",237,1996,13806
34754,"""The Twins at St Clare's (St Clare's)""",203,1996,13806
34755,"""In the Fifth at Malory Towers""",53,2000,13806
34756,"""Upper Fourth at Malory Towers""",273,2000,13806
34757,"""Third Form at Malory Towers""",37,2000,13806
34758,"""Five Are Together Again""",487,2000,13391
34759,"""Five Go to Mystery Moor (Famous Five)""",230,2001,12565
34760,"""The Famous Five: Five Go Down to the Sea (The Famous Five)""",123,2001,12565
34761,"""The Famous Five: Five Have a Wonderful Time (The Famous Five)""",89,2001,12565
34762,"""The Famous Five: Five on a Hike Together (The Famous Five)""",467,2001,12565
34763,"""The Famous Five 9: Five Fall into Adventure (Famous Five)""",159,2001,12565
34764,"""Famous Five 8: Five Get into Trouble (Famous Five)""",395,2001,12565
34765,"""The Famous Five 7: Five Go Off to Camp (Famous Five)""",456,2001,12565
34766,"""The Famous Five 6: Five on Kirrin Island Again (Famous Five)""",343,2001,12565
34767,"""The Famous Five 5: Five Go Off in a Caravan (Famous Five)""",177,2001,12565
34768,"""Famous Five 4: Five Go Off to Smuggler's Top (Famous Five)""",165,2001,12565
34769,"""Famous Five 2: Five Go Adventuring Again (Famous Five)""",471,2001,12565
34770,"""The Famous Five 1: Five on a Treasure Island (Famous Five)""",48,2001,12565
34771,"""The Mystery of the Blue Train (Hercule Poirot Mysteries (Paperback))""",432,2000,14692
34772,"""N or M?: A Tommy and Tuppence Mystery""",291,2001,14760
34773,"""Bibbi Bokkens magische Bibliothek. (Ab 10 J.).""",132,2001,12256
34774,"""Conversación en La Catedral""",495,1999,14562
34775,"""The Happy Prince and Other Tales""",304,1995,14972
34776,"""Goosebumps: Revenge of the Lawn Gnomes""",381,2004,14417
34777,"""Attack of the Mutant (Goosebumps)""",352,2004,12557
34778,"""Egg Monsters from Mars (Goosebumps Series)""",296,2003,14080
34779,"""Karen's Turkey Day (Baby-Sitters Little Sister, 67)""",398,1995,12557
34780,"""The Spiritual Traveler: The Guide to Sacred Sites and Pilgrim Routes in Britain (Spiritual Traveler)""",444,2000,12260
34781,"""Creole""",369,1978,14884
34782,"""Trapper Serendipity Book (Serendipity)""",160,1982,14884
34783,"""The Collected Poems of Lord Byron (Wordsworth Poetry Library)""",210,1998,14495
34784,"""Lord and Lady Bugg""",376,1984,13918
34785,"""Mammals at Your Fingertips (At Your Fingertips Series)""",278,1993,14055
34786,"""ETHAN FROME""",329,1987,14921
34787,"""Sleepy Time Bunny""",356,1984,14884
34788,"""Snaffles""",237,1980,13918
34789,"""Versklavt in gutem Hause. Ersch�?¼tternde Schicksale junger Frauen mitten unter uns.""",110,1999,14576
34790,"""The pigman""",381,1978,15014
34791,"""Ride the River : The Sacketts (Sacketts)""",391,1983,15014
34792,"""Phoebe: A Novel (Sisters Series, Book 1)""",129,1987,14205
34793,"""Garfield: His 9 Lives""",496,1984,14212
34794,"""Garfield Keeps His Chins Up (Garfield (Numbered Paperback))""",491,1992,14212
34795,"""The Life and Adventures of Santa Claus""",493,1976,13829
34796,"""Sunny, Diary 3 (California Diaries, 12)""",75,1999,12557
34797,"""Seaward""",106,1987,14034
34798,"""Enigmas Histricos Al Discubierto""",42,2003,13211
34799,"""LA Guerra Del Fin Del Mundo""",462,2003,13475
34800,"""Pricilla (Barely There)""",464,2001,14666
34801,"""Serpiente""",445,2001,14942
34802,"""The Incredible Worlds Of Wally Mcdoogle: #18 My Life As A Busted-up Basketball Backboard""",35,2000,13817
34803,"""Off the Mangrove Coast""",224,2000,13782
34804,"""Serase Una Vez (Espasa Juvenil, 25)""",347,1997,12582
34805,"""George Speaks (Pack)""",441,1997,12282
34806,"""All I Want For Christmas (By Request 2's)""",366,2003,14943
34807,"""The Hidden Heart of the Cosmos: Humanity and the New Story""",408,1999,12284
34808,"""Ne pariez jamais votre t�?ªte au diable et autres contes non traduits par Baudelaire""",416,1989,14556
34809,"""V: The New England Resistance""",367,1985,14860
34810,"""Die Burg der Abenteuer. ( Ab 10 J.).""",345,2001,12287
34811,"""Fear Street Geisterstunde. Mitternacht am Friedhofstor. ( Ab 10 J.).""",220,2002,12288
34812,"""Destination Unknown""",104,1992,14971
34813,"""Maya oder Das Wunder des Lebens.""",433,2002,14357
34814,"""Understanding Astrology: First Steps in Chart Interpretation""",259,1995,14608
34815,"""The Custom of the Country (New York Public Library Collector's Editions)""",106,1998,14297
34816,"""Complete Works of Oscar Wilde: Stories, Plays, Poems and Essays""",54,1989,14935
34817,"""Garfield Goes Hollywood""",172,1988,14212
34818,"""The Blithedale Romance (The Penguin American Library)""",448,1983,14368
34819,"""G�?¤nsehaut 31. Ich kann fliegen. ( Ab 10 J.).""",326,1999,14774
34820,"""HICKRY DICKRY DETH""",82,1985,14110
34821,"""Bad Boy: A Memoir""",186,2001,14503
34822,"""Voyages of Doctor Dolittle (Yearling Newbery)""",213,1988,14892
34823,"""First Grade Elves (First Grade Is the Best! Series)""",314,1993,15019
34824,"""Little Women""",242,1970,13918
34825,"""Disney's the Little Mermaid: Under the Sea""",169,1991,14916
34826,"""Silver On The Tree""",341,2000,14633
34827,"""The magic carpet's secret (Disney's Aladdin series)""",32,1993,12303
34828,"""Rugrats Movie, The: Hang On To Your Diapies, Babies, We're Going In! : Trivia from the Hit Movie! (Rugrats)""",154,1998,13921
34829,"""Reef of Death""",42,1998,14375
34830,"""Little Women""",169,1976,13918
34831,"""Little Women""",367,1987,12557
34832,"""Selfish Giant""",292,1991,14809
34833,"""No Ordinary Princess""",308,1997,14693
34834,"""The Queen of Ashes""",266,1995,14938
34835,"""The Last Hawk (Asaro, Catherine. Saga of the Skolian Empire.)""",354,1997,14456
34836,"""Angels""",256,1991,13817
34837,"""The Black Cat""",177,1995,12310
34838,"""Hearts At Home (Heavenly Daze Series)""",321,2003,14769
34839,"""Collected Works of Oscar Wilde: The Plays, the Poems, the Stories, and the Essays Including De Profundis (Wordsworth Collection)""",49,1998,14495
34840,"""The Most Scenic Drives in America (Most Scenic Drives in America)""",78,1997,14526
34841,"""Reflections of Arsulu (Disney's the Little Mermaid)""",475,1992,14243
34842,"""Home For Christmas (By Request) (Harlequin by Request)""",40,1996,13787
34843,"""Inheritance""",333,0,14523
34844,"""Homeward Bound II: Lost in San Francisco""",90,1996,12316
34845,"""Death Wore a Diadem""",477,1989,14456
34846,"""Fodor's New England 2000""",285,1999,14748
34847,"""Late Night Thoughts On Listening to Mahl""",494,1984,14523
34848,"""Cold in the Earth (Meredith and Markby Mysteries (Paperback))""",302,1994,14971
34849,"""Cianuro Espumoso/Remembered Death""",96,1983,14062
34850,"""Primeros casos de Poirot""",347,1983,14405
34851,"""Poirot Infringe la Ley""",50,1995,15015
34852,"""El Pudding de Navidad""",448,1987,15015
34853,"""Un Puñado de Centeno""",346,1988,15015
34854,"""La Muerte de Lord Edgware/Lord Edgware Dies""",398,1983,14062
34855,"""La Vengaza de Nofret""",275,1987,15015
34856,"""Tragedia en Tres Actos""",102,1997,15015
34857,"""UN Crimen Dormido/Sleeping Murder""",313,1983,14062
34858,"""La Joya de Las Siete Estrellas""",316,1999,14788
34859,"""Haunted Schools: True Ghost Stories (True Ghost Stories)""",157,1996,15019
34860,"""Could It Be True?""",120,1998,15019
34861,"""Adventures of Huckleberry Finn (Silver Classics)""",150,1985,12331
34862,"""Color Of Blood (Stakeout Squad #3) (Stakeout Squad, No 3)""",314,1995,14964
34863,"""Day the Fifth Grade Disappeared""",484,1996,12557
34864,"""A Fish in the Water: A Memoir""",181,1994,12446
34865,"""The Reckoning""",178,2001,14785
34866,"""The Blood of the Lamb: A Novel of the Second Coming""",177,1992,14456
34867,"""CLOCKS""",55,1985,14110
34868,"""Cycle Of The Werewolf""",27,1985,14402
34869,"""Karen, Hannie and Nancy: The Three Musketeers (Baby-Sitters Little Sister Super Special, 4)""",419,1992,14080
34870,"""Karen's Baby (Baby-Sitters Little Sister Super Special)""",394,1992,12557
34871,"""Disney's Mickey Mouse in the Barracuda Triangle""",165,1990,14958
34872,"""Achilles' Choice""",497,1991,14456
34873,"""Marriage Business (Harlequin Romance, No 3407)""",175,1996,13787
34874,"""Five on Finniston Farm (The Famous Five Series IV)""",480,1994,14468
34875,"""Little Mermaid Sing-Along""",363,1997,15018
34876,"""Dead Cert, Nerve, for Kicks: The First Three Francis Novels""",143,1996,14866
34877,"""Jake'S Mountain (Silhouette Special Edition, No 9945)""",374,1995,14943
34878,"""Bleeding Maize and Blue (Anneke Haagen Mystery)""",493,1997,14863
34879,"""Autobiography and Other Writings: Benjamin Franklin (Penguin Classics)""",94,1986,14368
34880,"""The Greedy Rabbit: and Other Stories (Enid Blyton's Popular Rewards Series I)""",75,1995,14468
34881,"""Garfield's Furry Tales""",395,1994,15019
34882,"""Le Fl�?©au, tome 1""",234,2003,14530
34883,"""Le Crime de Lord Arthur Savile et autres contes""",91,1975,14556
34884,"""Little Women (Childrens Classics)""",85,1987,12350
34885,"""Death of a Salesman: Certain Private Conversations in Two Acts and a Requiem (Penguin Twentieth-Century Classics)""",206,1998,14368
34886,"""Een barbaar in China: Een reis door Centraal-Azië (Meulenhoff editie)""",478,1987,13414
34887,"""Vic and Blood: The Continuing Adventures of a Boy and His Dog : A Graphic Novel""",115,2003,14216
34888,"""Double Sin and other stories""",338,2002,14185
34889,"""Am Anfang war der Seitensprung.""",239,2002,14726
34890,"""Cam Jansen and the Mystery of the Carnival Prize (Cam Jansen Adventure, 9)""",124,1984,14583
34891,"""Five Go Down to the Sea (Green Knight Books)""",115,1977,14891
34892,"""The Lonely Passion of Judith Hearne""",237,1988,14901
34893,"""Country Cross-Stitch Designs (An American sampler)""",153,1990,12359
34894,"""Graduation Day (Baby-Sitters Club Friends Forever Super Special, 2)""",341,2000,12557
34895,"""Harlan Ellison's the City on the Edge of Forever: The Original Teleplay That Became the Classic Star Trek Episode""",221,1996,12360
34896,"""Omertà""",201,2001,14410
34897,"""Jane Brody's Nutrition Book: A Lifetime Guide to Good Eating for Better Health and Weight Control""",496,1984,14159
34898,"""Flame Is Love""",262,1979,13782
34899,"""Fodor's Golf Digests Places to Play (Fodor's Golf Digest's Places to Play, 4th ed)""",491,2000,14749
34900,"""Your Baby, Your Way: Making Pregnancy Decisions and Birth Plans""",399,1987,14977
34901,"""Black Knight in Red Square""",425,1993,14784
34902,"""The Consul's File""",115,1977,14898
34903,"""Woman in the Dark""",292,1988,14624
34904,"""Beverly Hills""",476,1989,12368
34905,"""Fear of Fifty: A Midlife Memoir""",164,1997,12369
34906,"""CLOCKS""",310,1979,14110
34907,"""The Prince and the Pauper (Watermill Classic)""",44,1981,15019
34908,"""Clifford, the Big Red Dog (Clifford the Big Red Dog (Paperback))""",99,1985,12557
34909,"""Pish-Posh (Serendipity Series)""",140,1986,13918
34910,"""The Dark Half""",178,1992,14583
34911,"""American Steel""",26,1992,12373
34912,"""Case Of The Haunted Camp (SVK Super Snooper #3)""",223,1992,14896
34913,"""Sheila Rae's Peppermint Stick""",107,2001,13910
34914,"""Beverly Hills""",166,1990,14212
34915,"""Malibu""",343,1993,14212
34916,"""Without Love (Harlequin Romance, No 2964)""",416,1989,13787
34917,"""MURDER W MIRRORS""",181,1979,14110
34918,"""NEMESIS""",231,1979,14110
34919,"""The Ghost of Thomas Kempe""",179,1995,14890
34920,"""Evil Under the Sun""",434,0,14523
34921,"""A Connecticut Yankee in King Arthur's Court""",282,1984,12381
34922,"""Partners in wonder""",483,1971,12382
34923,"""The Beast That Shouted Love at the Heart of the World""",184,1984,14456
34924,"""World of Ptavvs""",435,1989,13766
34925,"""My Secret History-O.M.""",103,1989,14869
34926,"""Night Raven""",274,2000,14099
34927,"""Lord Darlington's Darling (Signet Regency Romance)""",234,2002,14762
34928,"""East &amp; South Africa Backpack Manual""",62,1998,12388
34929,"""Heaven's Gift (An Angel's Touch)""",62,1995,14224
34930,"""The Wilde Side""",118,2004,14050
34931,"""Der Geschichtenverk�?¤ufer.""",377,2002,12391
34932,"""The Buccaneers (Penguin Great Books of the 20th Century)""",272,1994,14368
34933,"""Private Fantasies (Intimacies)""",423,2000,13787
34934,"""Private Pleasures (Blaze) (Harlequin Temptation, No 679)""",29,1998,13787
34935,"""Wedding Deal (To Have And To Hold) (Romance, 3678)""",164,2001,13787
34936,"""Passions Raging Storm""",199,1989,14792
34937,"""Jessi's Baby-Sitter (Baby-Sitters Club, 36)""",450,1997,12557
34938,"""The Internet for Dummies (4th Edition)""",394,1997,13114
34939,"""The Artist's Way: A Spiritual Path to Higher Creativity""",339,2002,14937
34940,"""Wild Horses""",432,0,13776
34941,"""Unexpected Engagement (Holding Out For A Hero) (Harlequin Romance, No 3436)""",237,1996,13787
34942,"""A Slay at the Races""",355,1990,14306
34943,"""The House of Mirth (American Library)""",485,1985,14346
34944,"""Fall of the House of Usher and Other Stories (Signet Classics (Paperback))""",94,1990,14393
34945,"""Mord in Mesopotamien. Ein Hercule- Poirot- Krimi.""",98,1990,14595
34946,"""Falling Stars (Firestar Saga)""",61,2002,14785
34947,"""Why I'm Afraid of Bees""",65,1999,14568
34948,"""CITY WHO FOUGHT (HARDCOVER) (Brainship)""",62,1993,14783
34949,"""Nimisha's Ship""",326,1999,14212
34950,"""Shining""",315,2000,13725
34951,"""�?�?a""",169,2000,14742
34952,"""LA Ligne Verte""",76,2000,14575
34953,"""Baedeker's London (Baedeker's City Guides)""",171,1999,14775
34954,"""Fodor's 2000 the U.S. &amp; British Virgin Islands (Fodo's the U.S. &amp; British Virgin Islands, 2000)""",193,1999,14748
34955,"""Cowboy And The Lady""",315,2001,14981
34956,"""From a Buick 8 : A Novel""",129,2002,14544
34957,"""El Paraíso en la otra esquina""",261,2003,13063
34958,"""MURDER IS ANNOUNCE""",305,1985,14110
34959,"""The Buccaneers""",291,1993,14408
34960,"""Garfield's Big Fat Hairy Joke Book""",148,1994,14212
34961,"""Destination Unknown""",348,1983,14618
34962,"""Ordeal by Innocence""",418,1985,14618
34963,"""Hogfather: A Novel of Discworld""",281,1998,12419
34964,"""D Day: June 6, 1944: The Climactic Battle of World War II""",73,1995,14784
34965,"""The Widow's Children""",344,1999,14217
34966,"""Inside Out""",473,1990,12557
34967,"""Jessi's Big Break (Baby-Sitters Club, 115)""",307,1998,14435
34968,"""The Rowan (Rowan)""",170,1990,14306
34969,"""BONECRACK""",423,1990,14110
34970,"""Gabby (Serendipity Book)""",400,1983,14884
34971,"""Baby-Sitters at Shadow Lake (Baby-Sitters Club Super Special, 8)""",425,1997,12557
34972,"""Lit Life""",351,2002,12426
34973,"""Earth Geeks Must Go! (Goosebumps Series 2000, No 24)""",339,1999,12557
34974,"""Anita and me""",66,1996,12427
34975,"""Best Evidence: Disguise and Deception in the Assassination of John F. Kennedy""",183,1992,14762
34976,"""The Green Progression""",332,1995,14961
34977,"""SUMMER""",314,1998,14544
34978,"""Zebra Family (Animal Series) (Animal Series)""",156,1991,12431
34979,"""Hohle K�?¶pfe. Ein Roman von der bizarren Scheibenwelt.""",50,1998,14576
34980,"""The Stepbrother (New Fear Street, Book 1) (Super Chiller)""",238,1998,14085
34981,"""The Wedding Game : A Mystery at the University of Michigan (A Mystery Featuring Anneke Haagen)""",155,2001,14185
34982,"""Addie'S Lament (Harlequin Historical, No 277)""",405,1995,13787
34983,"""Let's Get a Pet""",172,1993,14408
34984,"""Vixen 03""",443,1981,13782
34985,"""Legacy of the Drow Collector's Edition (Forgotten Realms: Legacy of the Drow)""",462,2003,14992
34986,"""Great Short Works of Edgar Allan Poe""",491,1970,14935
34987,"""Tommyknockers (Nevedomoe, Neobiasnimoe, Neveroitnoe)""",421,1993,14833
34988,"""Fodor's 98 Spain (Fodor's Gold Guides)""",67,1997,14749
34989,"""Scotland (Off the Beaten Track)""",210,1994,12441
34990,"""Life in These United States: True Stories and Humorous Glimpses from America's Most Popular Magazine""",85,1996,14443
34991,"""Les fantaisies de C�?©sar""",185,1989,12443
34992,"""Night Shift""",239,1986,14402
34993,"""Three Dog Nightmare : The Chuck Negron Story""",120,2000,12445
34994,"""In Praise of the Stepmother""",250,1990,12446
34995,"""Tantrums (Last Straw Strategies)""",59,2003,14234
34996,"""House of the Seven Gables""",439,1967,14159
34997,"""The House of the Seven Gables (The Penguin American Library)""",244,1986,14368
34998,"""GREAT TALES OF EDGAR ALLAN POE""",386,1990,14110
34999,"""La fiesta del chivo""",411,2000,13064
35000,"""Beware, the Snowman""",220,1999,13916
35001,"""The Tin Man""",78,1998,15014
35002,"""Die Heilgen Narren: Punk 1976 1986 (Materialie Soziologie, Tb 1)""",472,1992,12452
35003,"""The Muse Within: Creativity and Communication, Song and Play from Childhood Through Maturity""",345,1992,12453
35004,"""Lies of Silence""",217,1990,14297
35005,"""Fodor's Cancun, Cozumel, Yucatan Peninsula '94 (Fodor's Cancun, Cozumel, Yucatan Peninsula)""",130,1993,14749
35006,"""The Animal Parade: A Collection of Stories and Poems""",236,1992,12455
